WORD,COUNT
being,81
engaged,7
for,900
followfriday,23
week,85
community,26
we,277
james!,3
will,229
how,137
centre,2
please,254
02392441234,1
be,385
hey,62
many,11
contact,7
call,34
night,69
when,169
listen,16
as,9
last,85
scotland?!,1
you,154
bleed,2
had,93
congrats,14
rqst,1
blue,11
profile,3
fb,7
verified,1
has,84
got,138
15,8
this,68
flipkartfashionfriday,16
happy,159
lovely,47
enjoy!,4
-,186
friday!,9
hope,161
like,321
keep,62
waiting,34
long!,2
lwwf,1
customers,2
new,153
buying,2
just,350
not,341
but,466
sheep,1
dd,1
on,14
entering,1
enough,26
jgh,6
go,163
bye,11
",",29
bayan,1
have,579
warehousing,1
well…,1
name,19
calling,3
etl,1
katamari,1
layer,1
these,8
wouldn't,12
bigjuicyselfies,3
love,315
who,58
&amp;,210
back,216
follow,281
u,287
what's,27
"perfect,",1
know,211
get,267
junior,2
13,5
gatorade,1
entries,2
12,9
great,130
range,3
job,35
card,8
laying,3
greetings,3
print,1
ku,1
tbs,1
friend's,3
nostalgia,1
lunch,10
conflict,1
working,51
help,60
here's,20
hi,140
liv,2
—,40
x,76
i,1555
need,119
fm,2
can,259
hello,52
twitter??,1
followers,28
four,8
fun,45
seasons,1
pretty,27
i've,75
"penthouse,",1
gobigorgohome,1
heard,14
yeah,18
was,290
bit,26
chat,13
lol!,7
opportunities,14
youth,14
&gt;&gt;,19
💅🏽💋,1
haven't,30
thank,105
by,66
goes,7
quickly,4
rest,23
now,191
fix,6
bed,17
festival,5
ritual,1
line-up,2
(y),5
left,29
(népal),1
spiritual,1
beginning,4
it,79
see,61
sarah!,1
email,28
bitsy@bitdefendercom,1
send,1
we'll,18
us,118
lols,1
kik,37
akua,2
nsfw,2
my,150
hatessuce32429,1
lgbt,3
cumshot,1
tinder,3
kikme,8
house,12
come,84
[link,1
removed],1
press,1
with,311
pressrelease,1
newsdistribution,1
release,9
effective,1
"nsn_supplements,",1
results!,2
?,93
x46,1
loves,53
warsaw,44
&lt;3,81
lot,84
!,105
bestfriend,53
she,54
bam,44
youtube,8
watch,50
earthlings,1
everyone,47
buuuuuuuut,1
well,96
forward,25
next,65
looking,74
jo,1
letsgetmessy,1
visiting,3
better,69
feel,97
nor,2
flesh,2
never,71
kpop,3
good,247
wishes,4
girl!!,3
best,59
epic,2
a,47
reason,10
friday,78
playlist,7
league,7
/,10
4,30
1,70
going,116
video,34
would,120
jordan,1
