,QUERY,ACTUAL_CLASS,PREDICTED_CLASS,METRIC
0,"Bro:U wan cut hair anot,ur hair long Liao bo
Me:since ord liao,take it easy lor treat as save $ leave it longer :)
Bro:LOL Sibei xialan",POSITIVE,NEGATIVE,-0.13396148198779775
1,@heyclaireee is back! thnx God!!! i'm so happy :),POSITIVE,NEUTRAL,0.0
2,"@BBCRadio3 thought it was my ears which were malfunctioning, thank goodness you cleared that one up with an apology :-)",POSITIVE,NEGATIVE,-0.1148278745843631
3,"@HumayAG 'Stuck in the centre right with you. Clowns to the right, jokers to the left...' :) @orgasticpotency @ahmedshaheed @AhmedSaeedGahaa",POSITIVE,NEGATIVE,-0.06108303986117491
4,Happy Friday :-) http://t.co/iymPIlWXFY,POSITIVE,POSITIVE,10.241669690372522
5,@Sazzi91 we are following you now :) x,POSITIVE,POSITIVE,0.0242494010095172
6,My #TeenChoice For #ChoiceinternationalArtist is #SuperJunior Fighting Oppa :D,POSITIVE,POSITIVE,2.1586527777777773
7,@FindBenNeedham it's my birthday today so for my birthday wish I hope there's good news about Ben soon :-),POSITIVE,NEGATIVE,-22.150265245008057
8,"Good morning all :-)

It's Friday!!!!!! 󾰀

What are your plans for the day? I am currently playing shops with my... http://t.co/qoKquDWcb5",POSITIVE,NEGATIVE,-6.945226347957245
9,@LouiseR97054900 Happy Friday for you too :) @toonstra65 @_emeraldeye_  @lisamarti76 @Dahlizma  @miss_steele89 @LouMWrites @ASeguda,POSITIVE,POSITIVE,11.201564344460571
10,:3 !   Good nigth :): estoy escuchando a Enemy of God,POSITIVE,POSITIVE,0.0012887989203778677
11,"@EllieVond @SkeletonSweets @Justin_Naito @justcallmerizzo No actually, you don't. Bye bye indeed. Go take your drama elsewhere. :)",POSITIVE,NEGATIVE,-0.020555942153566965
12,"#ff @PrintStrawberry
@ESPSFA
@ErdFoodBank
@HarbourSpaces
@AbbeyPrimary
@BigWokBham
@Cole2806
@Ted4Erdington
Ready for the Weekend? :) #smile",POSITIVE,POSITIVE,1.4762029914529915
13,@Tim_A_Roberts @Pinter_Quotes works for me :),POSITIVE,NEUTRAL,0.0
14,:) my moods are so bipolar,POSITIVE,NEUTRAL,0.0
15,@ninebonso04 thank you :),POSITIVE,NEUTRAL,0.0
16,@SasaRichardson @Stefbystef_ @Frgt10_Anthem HAHAHAHAHAHAHAHAHAHAHAHAHAHA I AM DYING :)) I AM LITERALLY IN FRONT OF IT AND I WAS LIKE,POSITIVE,NEGATIVE,-50.43377148129811
17,Yoohoo! Shattering all records #BajrangiBhaijaanStorm #SuperHappy :D http://t.co/wQSegYjWil,POSITIVE,NEUTRAL,0.0
18,Who's awake :-),POSITIVE,NEUTRAL,0.0
19,Happy Friday :-) http://t.co/B0l9zha8cl,POSITIVE,POSITIVE,10.241669690372522
20,@MonicaBhambhani @Equinox my pleasure doll! Thank you for your wonderful energy in class! :),POSITIVE,POSITIVE,4.712297093837535
21,@charlesjonesss F off :),POSITIVE,NEUTRAL,0.0
22,"@mommydean74 @Patriotic_Me Delighted, m'dear!:)",POSITIVE,NEUTRAL,0.0
23,@EJWoolf hi emma. :-) can I ask is your #BellyButton an #Innie or an #Outie?,POSITIVE,POSITIVE,24.21783503674782
24,@AceAlemania Followback The Beautiful Girl Today :),POSITIVE,POSITIVE,0.00790289256198347
25,@BarbieDevotees lyka followback :),POSITIVE,NEUTRAL,0.0
